CONTENIDO A ANALIZAR;INTENSIDAD
¿y su actitud ante el tribunal? con lo que tiene encima y la poca entidad de sus excusas ante el acúmulo de pruebas y evidencias, todaví­a se permite una altanerí­a y una soberbia impropias de alguien que comparece ante un tribunal como investigada-acusada de múltiples delitos. por cierto, viendo la actitud del sr. juez de la causa,amedrentando continuamente a la fiscal y al representante de la acusación particular, por parte de la universidad( era obvio que estamos en que la mejor defensa es un buen ataque...del sr.juez a la fiscal) se entiende en enroque del pp en el cgpj y la importancia de la designación de jueces por este órgano ante el rosario de procesos pendientes de altos cargos del pp. así­ que fabricantes de cortinas de humo vayan avivando los fuegos que hay que hablar mucho de venezuela, del sr. sánchez y el coletas con tal de no hablar de las corruptelas de es@ señor@ que vd. me dice y que ya no forma parte de este partido. y lo de los eres de andalucia, que ya huele.;3
actuar de buena fe es simplemente que a uno le digan todos lo hacen para que alguien, con tan pocos fundamentos democraticos, se apunte a lo que sea necesario sin hacerse mas preguntas. las universidades del pp en madrid, capaces de dar masters a sus pupilos a cambio de jugosas subvenciones. y dicen que esto no es una mafia.;3
actuar si que actuó. presuntamente coaccionando a las â€œprofesorasâ€. lo de buena fe ya es de traca.;3
cela era de derechas y no daba vergüenza ajena. yo dirí­a más bien que muchos de los polí­ticos actuales dan vergüenza ajena. que de izquierdas también hay alguno que otro...;4
cela.... camilo? y dices que no daba vergüenza ajena?;4
como se puede tener tanto morro. toda persona que haya pasado por cualquier universidad española sabe que los tí­tulos no se dan de oficio, hay que solicitarlos y pagar unas tasas. aunque supongo que como según ella no lo ha pedido tampoco las habrá pagado. qué polí­ticos tenemos, da hasta vergüenza ajena.;4
cualquiera que haya escrito un trabajo de fin de máster o una tesis doctoral sabe el enorme esfuerzo que cuesta y el cariño que se le tiene. como para no guardar copia, vamos. ya que miente al menos qur lo haga con algo de ingenio.;3
después de lo de las cremas, el me quedo, tí­tulos falsos y tertuliana de telecinco... llega la hora de la traca final de mentiras y culpar a los acólitos. si buscas vergüenza ajena, sale la señora cifuentes.;4
dice nuestra ex que por sus obligaciones no tení­a tiempo para asistir a clases presenciales en la universidad. pero para cambiar de sitio unas cremas, de la  estanterí­a de un supermercado a su bolso,  sí­ que encontró tiempo.;3
efectivamente, enrique álvarez conde falleció en 2019 con lo que se intentará que sea el responsable de casi todo;3
el cinismo de esta señora no tiene lí­mites , primero asegura poseer el tí­tulo y lo presenta ante las cámaras ahora pillada en la mentira la culpa es de la universidad;4
el difunto e. álvarez conde actuaba en la cátedra de derecho constitucional y en conventí­culo de los master con todas las bendiciones académicas y administrativas de los rectores gonzález-trevijano (hoy en el tc) fernando suárez y el concernido ramos lópez, amen de  los presidentes de la cam,a r- gallardón, la investigada aguirre, los acusados i. gonzález y cifuentes y la corriente ayuso. un cuarto de siglo los contempla gracias a la mayorí­a absoluta obtenida de los  votantes del pp, finalmente condenado por sentencia firme nÂº 20/2018 de la  an confirmada por el ts.;3
el magistrado que dirige el juicio oral del master de la pública urjc de la cam en  la ap de madrid (si es la sección nÂº 15 ó la 16 continua siendo duda para la prensa) e integrada por otras dos, forman el trí­o que dictará sentencia en calidad de  administradores de la justicia que emana del pueblo, exclusivo titular constitucional de todos los poderes del estado. en su seno se van desarrollando las sesiones públicas  que con todas las garantí­as de las partes van a esclarecer los graves hechos sucedidos hace años con la expedición de tí­tulos académicos de favor a los dirigentes del pp madrileño mediante prácticas que han evidenciado la ausencia de un riguroso sistema de enseñanza eficaz y contrastada por el claustro, sucesivos rectores,   funcionarios...al servicio público de los ciudadanos para alcanzar progreso cientí­fico y  ético para igualarnos en competencia con  el resto de paí­ses de la ue.;3
el muerto, culpable, pues.;3
el resto de masterizados peperos deben de estar un tanto nerviosos.casado juega al pleno ,máster y carrera.;3
en realidad sale derecha española siempre culpando de sus corruptelas a los que ya están muertos que cosas..;3
en suma habrá que empezar a retomar aquel término que causó estupor,  la casta.;4
entiendo que si te están pidiendo 3 años y 3 meses de cárcel largues lo que sea pero desde el punto de vista de los espectadores es ridí­culamente patético. en fin.;4
entonces, no negando la endogamia terrible, me imagino que los no independientes deberí­an ser los de los contratos basura. no los otros... vaya, apaga y vámonos.;3
ep el periódico que te permite poner a parir al pp a condición que en el mismo comentario no menciones al psoe ni a sanchez, ni a zp ni al psoe...;3
era la cara bonita del pp, el futuro, la decencia. como se analice su trayectoria profesional y politica posiblemente nos asombrariamos. como esta sra. es miembro de jet society como se tenia que preocupar por titulos si su posicion social era ¿de vip? trepaba para subir de posicion social al precio que fuese. carecia de pedigri y se apuntaba a todas, master uno, master dos, para obtener un respaldo intelectual y formativo del que carecia. administrativa en la universidad de madrid saco la cerrera. gano unas posiciones para subir de nivel cuyo tribunal de las oposiciones contaba con intimos amigos suyos ... y siguio escalando ... esta vez con la universidad rey juan carlos, creada y controlada por la comunidad de madrid, ppera hasta las cachas. el cumulo de ... ¿...? adscritos a esta universidad no tiene parangon. el rector no vio nada irregular cuando le exigieron una seudo auditoria. una farsa total.;3
si. biden y su jauria... nunca mejor dicho '';4
escoria de clase polí­tica;4
entonces es que estás forrado... hacienda y los comunistas van a por los ricos;3
pero que credibilidad tienes tu alma de cántaro;4
@mossos pero con la calma, eh... no sea que @adacolau os de un azote;4
aprovecharse de un partido veleta y sus votantes veletas...;4
qué periódico lamentable.;4
una mierda pal q lo ha escrito, otra para el medio y una a repartir pal q lo crea;4
hay señor illa dejese de tonterias que solo piensa en las elecciones payaso;4
esto jode a los sicarios de la casta.;3
igualito que nuestro presidente que no ayuda. yde su desidia hecha la culpa a todos.;3
ese ya tiene donde ir le enchufaran a él y su bmw en algún chiringuito. y a vivir que son dos dí­as.;3
mí­ralo por el lado bueno ahora deja en paz a madrid y se va a joder a los catalanes. que dios los pille confesados.;3
@lavanguardia @luisbalg jeta que eres un jeta;4
¿razones humanitarias con un excremento?;4
pero alguien te escucha? eres tonto chaval?;4
de verdad, que asco dais;4
este tí­o es subnormal;4
"a mi em preocupa que convertim lâ€™independentisme en un catalanisme 2.0. el catalanisme era un moviment magní­fic perquí¨ no sabies on comení§ava ni on acabava. tu podies ser un catalanista tant si demanaves quatre coses com si en demanaves moltes. tothom podia ser catalanista. perí² lâ€™independentisme no és una evolució del catalanisme. lâ€™independentisme és rupturaâ€. així­ responia el president de la generalitat de catalunya, quim torra, al digital vilaweb el 27 de setembre de 2020, el dia abans que la seva inhabilitació conduí­s catalunya a les eleccions del 14 de febrer.el diumenge els comicis confrontaran de nou, potser de manera més clara que en cap contesa anterior, lâ€™aposta ciutadana per una via dâ€™entesa amb la resta dâ€™espanya o una de secessió. les formacions partidí ries dâ€™una o altra han desgranant les seves propostes en campanya. perviu la confusió, perí², de quin parentiu hi ha entre les nocions de catalanisme i independentisme: una relació de cosins, de germans, paternofilial? el fort component polí­tic del debat dificulta aclarir-ho perquí¨ no permet prendre distí ncia. quadern nâ€™aborda les claus des del bagatge de diferents historiadors que fa anys que reflexionen sobre la qüestió.â€œlâ€™independentisme ha format part de bon comení§ament del catalanismeâ€, diu fermí­ rubiralta a aquest suplement. la diferí¨ncia entre ambdós termes és per a ell â€œde caire fonamentalment estratí¨gicâ€. mentre que el catalanisme â€œdefensava com a possible lâ€™encaix diferencial catalí  dins una estructura estatal peninsular plurinacional, lâ€™independentisme advertia de la impossibilitat dâ€™aquest encaixâ€.lâ€™historiador afegeix que â€œa principis del segle xx, durant els seus primers passos cap a la conformació dâ€™un espai propi, lâ€™independentisme primerenc es defineix com a intransigent, precisament com a oposició a la transigí¨ncia de les posicions de la lliga regionalistaâ€. tal com explica a historia del independentismo polí­tico catalán (2020), en els anys deu del segle passat es comení§a a estructurar el separatisme al voltant de la idea dâ€™un estat catalí  federat o confederat en un estat espanyol o peninsular, o totalment independent en el sentit actual (defensat aleshores per ben pocs).el catedrí tic emí¨rit dâ€™histí²ria contemporí nia de la universitat de barcelona jordi casassas explica a aquest suplement que â€œen lâ€™actualitat parlem dâ€™independentisme i histí²ricament sâ€™havia parlat de separatisme com lâ€™expressió més radical del catalanisme o com la desqualificació per part del bloc del poder central davant lâ€™opinió pública espanyola en referí¨ncia a qualsevulla reivindicació catalanaâ€.lâ€™autor de perviví¨ncia de catalunya. la formació de la societat catalana i les seves identitats a lâ€™í¨poca contemporí nia (2020) afegeix que â€œlâ€™independentisme sâ€™ha convertit en una intenció ciutadana transversal i en una opció polí­tica que de forma continuada en les darreres conteses electorals ha obtingut majories parlamentí ries enfront del carí cter formalment minoritari del separatisme histí²ricâ€.aquest ideal separatista va perviure fins a la dí¨cada dels setanta. aleshores, influí¯t pels moviments colonials dâ€™alliberament, el maig del 1968 i lâ€™anticapitalisme, es va consolidar la idea de lâ€™independentisme actual: una catalunya sola, que ja no es vol federar o confederar. un trajecte que explicarí  el llibre coral de prí²xima aparició a tigre de paper, coordinat per lâ€™historiador carles viñas, histí²ria de lâ€™esquerra independentista.lâ€™escriptor i perodista vicení§ villatoro expressava al diari ara (15 de juny de 2016) que â€œúltimament hi ha tendí¨ncia a dir que lâ€™independentisme actual no té res a veure amb la tradició del catalanisme, hi trenca, no hi ha un fil histí²ric que els lliguiâ€. i creu que la consideració procedia dels contraris a lâ€™independentisme i assumia que â€œlâ€™independentisme actual és un fill directe, amb una genealogia contí­nua, del catalanisme de lâ€™últim segle i migâ€.en efecte, juan carlos girauta, aleshores diputat de ciutadans al parlament europeu, expressava a nació digital (4 de desembre de 2015), que lâ€™independentisme estava viu, perí² â€œel catalanisme polí­tic sâ€™ha mort, sâ€™ha acabatâ€. en sintonia amb aquesta visió, des de lâ€™extrem oposat, se situa lâ€™aní lisi de lâ€™expresident torra i també la que apuntava a lâ€™ara (24 de setembre de 2016) el filí²sof i polí­tic independentista jordi graupera a lâ€™article el catalanisme ha mort.els acadí¨mics matisen. andrew dowling, professor de la universitat de cardiff, diu a quadern que â€œlâ€™independentisme sorgeix de dins de la cultura polí­tica del catalanisme, perí² és un trencament. es basa en els postulats bí sics del catalanisme, perí² els porta en una nova direccióâ€. lâ€™autor de the rise of catalan independence: spainâ€™s territorial crisis (2017) afegeix que â€œel catalanisme és com un paraigua sota el qual una gamma diversa de posicions polí­tiques, dâ€™esquerra a dreta, expressaven el seu suport a la llengua catalana i a les institucions regionals. per a lâ€™independentisme així² és massa limitat i insuficient. només un estat catalí  independent pot satisfer els requisits de la comunitat polí­tica catalana i, per tant, és un punt final del desenvolupament polí­tic catalí â€.de manera similar sâ€™expressa a aquest suplement lâ€™historiador josep burgaya, doctorat amb una tesi sobre els miralls internacionals del catalanisme. pel professor de la universitat de vic, lâ€™independentisme es podia considerar un segment del catalanisme â€œdurant la transició, en í¨poques que aquest darrer era un plantejament compartit per bona part de lâ€™arc polí­tic i per diferents graus de radicalitat. aleshores, lâ€™independentisme volia representar la coherí¨ncia extrema i la culminació de la idea de la recuperació nacionalâ€.en canvi, enric ucelay-da cal es pregunta, en conversa amb quadern, â€œcom distingir conceptualment entre els impulsos diversos acumulatiusâ€ que van â€œdel catalanisme incipient de valentí­ almirall a jordi pujol i el seu ampli equip, dâ€™albert manent en dií leg amb josep benetâ€, passant per enric prat de la riba, francesc macií , francesc cambó, lluí­s companys, josep maria batista i roca, daniel cardona, miquel badia, josep dencí s, el debat nacional de lâ€™exili i la clandestinitat sota el franquismeâ€.lâ€™autor de breve historia del separatismo catalán (2018) conclou que â€œquan es mira el conjunt viu dâ€™un moviment histí²ric que ha durat prop dâ€™un segle i mig com el catalanisme, quan es valora la seva continuí¯tat amb el passat, és difí­cil diferenciar les fasesâ€. el catedrí tic emí¨rit dâ€™histí²ria contemporí nia de la universitat pompeu fabra sosté, per tant, que lâ€™independentisme és una fase més del catalanisme â€œdâ€™un desplegament per etapes, agradi o noâ€. també casassas sosté que â€œla densitat de lâ€™actual independentisme transversal és deutora precisament dâ€™aquest fort lligam histí²ricâ€.el catedrí tic de dret constitucional de la universitat autí²noma de barcelona francesc de carreras plantejava en aquest diari a hi ha un espai catalanista? (7 de febrer de 2020) que lâ€™expresident jordi pujol i el pujolisme havien propiciat la consolidació de lâ€™independentisme promovent â€œuna etapa primera (autoní²mica) per construir una nació que doni pas a una segona i última (la independí¨ncia), de manera que la primera estigui en funció de la segonaâ€.burgaya diu que â€œpujol, i amb menys relleví ncia heribert barrera, planteja un nacionalisme la finalitat del qual és construir una nació que més tard o més aviat sâ€™hauria de constituir en estat. es tracta de â€˜construir catalunyaâ€™, ho diuen obertament, amb la policia, lâ€™escola i tv3 com a grans instruments de nacionalitzacióâ€. per lâ€™autor de populismo y relato independentista en cataluña. ¿un peronismo de clases medias? (2020), â€œbarrera, a més, entronca amb lâ€™independentisme supremacista minoritari de nosaltres sols! o amb lâ€™estat catalí  de josep dencí sâ€, mentre que â€œlâ€™independentisme del segle xxi, tot i ser la â€˜fase superiorâ€™ del pujolisme, només es pot entendre en el context de desenvolupament del populisme â€”un nacionalpopulismeâ€.ucelay-da cal hi coincideix. â€œels independentistes del procés iniciat el 2010 o 2012 fins el 2020 â€”que inclouen lâ€™independentisme histí²ric sorgit amb el psan el 1968, perí² també tendí¨ncies ví ries del pujolismeâ€” volen marcar distí ncia davant del passat recent. no admeten que tinguin res a veure el bagatge de pujol com a lí­der, ni el peix al cove, ni la corrupció personal confessada el 2014â€. afegeix, perí², que â€œcom a sector venen dels anomenats talibans del post o neopujolisme dels anys noranta, perí² ells ho neguen. volen ser purs, nascuts sense contaminació. per tant, per a ells, res de lâ€™ambigüitat, res de lâ€™eclecticisme difús del catalanisme evocat com a sentiment gení¨ric en temps pujoliansâ€. lâ€™historiador no dubta que â€œartur mas, carles puigdemont o torra formen part dâ€™un contí­nuumâ€.â€œel terme catalanisme és en si un concepte polivalentâ€, diu a quadern el catedrí tic dâ€™histí²ria contemporí nia de la universitat de santiago de compostelÂ·la, xosé manoel núñez seixas. â€œper a alguns historiadors és siní²nim de nacionalisme catalí  (catalunya com una nació titular de sobirania). per a altres, com jo, catalanisme seria defensar que catalunya té una forta singularitat cultural, histí²rica i institucional/polí­tica que la fan mereixedora dâ€™un estatus polí­tic diferenciat dins de lâ€™estat espanyol: més que una regió, perí² no necessí riament una nació, sinó una nacionalitatâ€.lâ€™autor de lâ€™assaig catalan nationalism and the quest for independence in the twenty-first century: a historical perspective (2020) afegeix que el principal tret distintiu del catalanisme â€œés lâ€™idioma propi, que el convertiria en un terme més inclusiu, per les seves fronteres lí bils i fluides, que el de nacionalisme, més propens a interpretacions excloents. prí cticament tots els nacionalistes catalans són catalanistes (els autí¨nticament cí­vics que no considerin que lâ€™idioma és un element fonamental són minoria, i més aviat són recents), perí² no tots els catalanistes serien nacionalistesâ€.seixas conclou que â€œels independentistes són un segment del nacionalisme catalí , ja que a més de definir catalunya com un subjecte de drets polí­tics colÂ·lectius, pretenen materialitzar aquesta aspiració en la consecució dâ€™un estat propi a curt o mitjí  termini. hi ha independentistes, almenys des dels anys noranta, que rebutgen lâ€™etiqueta nacionalista; jo diria que no són nacionalistes í¨tnics, etnoculturals o historicistes, perí² sí­ cí­vics, com ho són els escocesos, per exempleâ€. aquest vessant és el que defensa erc a partir de les teoritzacions de josep-lluí­s carod-rovira. â€œsom independentistes, no nacionalistesâ€, deia el president del parlament, el també polí­tic dâ€™erc roger torrent, el febrer de 2019, a la cadena nord-americana cnbc.casassas dubta de la validesa dâ€™aquest argument a quadern. â€œalguns intents de teoritzar lâ€™actual independentisme han manifestat de forma explí­cita que són independentistes precisament perquí¨ no són nacionalistesâ€ i així² sâ€™ha fet â€œpensant que dâ€™aquesta manera traurien a la reivindicació actual la cí rrega identití ria inherent als nacionalismes i que es podria ampliar la base dels adeptes. per a ells, la bondat de lâ€™argument es feia incontestable davant el salt espectacular i rí pid entre el separatisme histí²ric molt minoritari i lâ€™actual independentisme de massesâ€.així², perí², continua lâ€™historiador, no té fonament perquí¨ va â€œen la lí­nia del presentisme ferotge de les actuals societats occidentals desenvolupades: el seu independentisme es conceptua en una cosa dâ€™interessos concrets dins lâ€™individualisme democrí tic actual; i lâ€™identitarisme nacional quelcom histí²ric a rebutjar, doncs es relacioní  amb el moment histí²ric en quí¨ el nacionalisme es va fer agressiu i separador fins lâ€™extremâ€.en conjunt, doncs, els historiadors consultats per quadern consideren lâ€™independentisme com una fase de lâ€™evolució del catalanisme amb el seu contingut nacionalista inclí²s, que a partir dâ€™un punt només alguns defineixen com un â€œtrencamentâ€ amb aquest. així­ mateix, conclouen que el propí²sit polí­tic de presentar lâ€™independentisme com un corrent alií¨ al catalanisme no té fonament histí²ric i sâ€™hi arriba per, almenys, tres vies: per allunyar-lo del nacionalisme inherent en aquest darrer, per rebutjar una continuí¯tat ideolí²gica que molesta i per diferenciar de manera clara les propostes polí­tiques a favor de lâ€™entesa amb la resta dâ€™espanya o en contra.â€œhi ha una regla molt senzilla, perí² segura, per valorar opinions polí­tiques â€”sosté ucelay-da calâ€”. els posicionaments, mirats de prop, mostren diferí¨ncies sovint molt importants; mentre que si sâ€™observen de lluny, exhibeixen trets comunsâ€. potser per així² fora de catalunya costa tan dâ€™entendre la sopa de lletres del moviment.a partir dâ€™aquí­, sâ€™obre un nou interrogant. un independentista crí­tic amb el moviment com manuel cuyí s considerava a el punt avui (14 de juliol de 2017) que el catalanisme â€œara sembla patrimoni dels independentistes. qui no és favorable a la independí¨ncia o hi introdueix matisos, suspicí cies o alternatives és titllat dâ€™unionista, espanyolista, traí¯dor i, en conseqüí¨ncia, exclí²s del catalanisme. no es pot ser catalanista si no sâ€™és nacionalista, els dos conceptes abans separats ara sâ€™han fusionatâ€.";2
¿qué les pasa a los madrileños que les gusta votar a los mayores yb más corruptos chorizos del reino? ¿son masocas o es que le pone el delito?;4
¿sólo peperos corruptos? pero, tú  ¿de qué vas?;2
a esta s******* la pillaron, pero cuántos peperos corruptos siguen todaví­a en las instituciones?;4
de ignorante ignorante o de ignorante voluntario y pagado por ..... ¿ el psoe ?;3
ep deberí­a hacernos cada dí­a un artí­culo denunciando la cobardí­a de la justicia belga, la dictadura catalana, la corrupción catalana....o es que rufián no se lo permite....?????corrupción pp + corrupción psoe + corrupción catalana + dictadura catalana + mentiras pedro =  ?????....venga a sumar......;1
lo que demuestra que cifuentes no tiene un equilibrio mental dentro de la normalidad. no será el unico caso dentro de la politica, pero quien delinque, presuntamente,  en lo pequeño, qué no podrá hacer en lo grande.;4
ayyyyy. que es que yo hice un master. y los carbones de la universidad dicen ahora que me lo regalaron. si a mí­ sólo me interesan las cremas del eroski, y yo sin examinarme ni nada y ahora me echan la culpa!!!!!! universidad sinvergüenza!!!!! yo soy inocente (y estudiosa).;4
"fra-casado debiera mirarse en el espejo de cifuentes pues tiene un denominador común (máster fraudulento).¿alguien vió, más allá de la carátula de su máster; es más existen sobradas razones para pensar que toda su carrera académica es un fraude total. éste es un polí­tico, al que le gusta hablar de la ejemplaridad  y la transparencia exigibles a los polí­ticos (para él no, pues está por encima del bien y del mal).";4
pues ya sabe usted lo que debe de hacer: dejar de sufrir leyendo este periódico y acogerse a los independientes kodiario, libertad(?) digital o la sinrazón. aunque también puede gozar con el inmundo o abcdefghij.... es lo bueno que tiene vivir en una sociedad plenamente democrática (aunque parece que usted no se haya enterado aún). que disfrute....;3
ya estamos con un chat para i.....otas! no me creo que el jefe del estado mayor  dimita  por esto. no somos tontos. no controla a los fascistas dentro del ejercito.;4
lo que es una vergüenza, es tener polí­ticos delincuentes, golpistas, trileros y malversadores y que además sean los amos y dueños de un gobierno autonómico lleno de prevaricaciones, abandono, caos y represiones solapadas hasta las trancas, con comparsas palmeros sin rastro de un mí­nimo nivel no solo cultural, sino democrático..;4
los únicos que ayudan a vox, es el separatismo golpista e indecente, facilitándoles los argumentos en bandeja de plata para seguir existiendo a base de odio, trilerismo y gamberrismo callejero bajo siglas farsantes inventadas ex profeso para la represión provincianaâ€¦..estilito anc y omnium. los separatas, los franquistas y resto de ultras de la indigencia se retroalimentan los unos a los otros en el mismo estercolero con la ayuda de palmeros y recaderos sin escrúpulos. izquierdistas de barra de bar.;4
no acepto nada de renegados acomplejado, desleales y discriminadores de chichinabos, mejor lo deja en manos de personas decentes que abundan en la región.;4
¿ quiénes son responsables del desaguisado, el payaso que lo desencadena o quienes eligen al payaso ?;4
polí­ticos = gentuza;4
ayuso inutil !!!!!!;4
periódico de mierda.;4
¿donde te has metido en tu palacio calentito mientras los demás nos helamos? Â¡fascista!;4
un juez anula la sanción al mosso de la república no existe, idiota;1
â€œÂ¡te maldigo barón rojo!â€;1
el odio a iglesias, combustible de la campaña de vox;3
putos bares;1
así­ funcionan los fascistas. si no ganan, el resultado se amaña.;2
"@lavanguardia somos el hazmereir de europa.. estamos locos que estamos a dia 2 y eso sigue activo? con tanta chusma de ahi nacera algo mas que una nueva cepa de covid... 

tenemos lo que nos merecemos... gracias @govern sois unos cracks!";2
a los fachas no los quiere nadie hasta ellos mismos se niegan.;3
varios centenares de personas muestran su rechazo a que educación y cultura caiga en manos del fascismo;1
por fin se va destapando la chulerí­a y prepotencia que este figura de cifuentes poseí­a;4
si se diera la casualidad de que tenemos escasez de cemento en el paí­s ya se sabe cual es la causa, esta señora y otras y otros muchos lo están usando como crema facial.;4
el tribunal supremo debe actuar cuanto antes contra esta pandilla de golpistas indecentes y los compinches prevaricadores sin escrúpulos que tienen colocados en puestos clave para facilitar nuevos golpes y embarrarlo todo del estercolero donde nadan tan a gusto. hay que finiquitar las bulas de estos renegados traidores para sus marrullerí­as incendiando la convivencia y estafando a la sociedad. p. sanchez y entorno, si esperan tener algún futuro en este paí­s deben mandar a la basura cualquier posibilidad de indulto a estos delincuentes en el trullo y a la fuga. podrí­a traerles la comprensión de un sector de catalanes instalados en la ambigüedad discriminadora  supremacista, en el resto de españa, un entierro poco digno y una merecida patada. estos pandillajes involucionistas solo producen hastí­o y asco. al señor casado y a ciudadanos, menos banderitas, más decencia polí­tica y tratar de hacer irrelevantes a cualquier precio a esta pandilla de miserables provincianos fabricantes de odio, en vez de hacerles el juego y regalarles en bandeja, trascendencias que no debieran haber tenido jamás.;4
ay, cuánta ilusión han puesto los camaradas en el señor biden! y que cortos que son!;4
no te insultes, hombre, por muy corto que seas;4
un miserable indigente faccioso menos...pero antes tiene que provocar enfrentamientos y desordenes públicos sembrando más odio, del que todaví­a no se siente suficientemente satisfecho. hemos podido observar en vivo y en directo, de forma cercana y en directo, la explicación veraz de como cualquier fascismo de estercolero con caretas puede llevar a la ruina cualquier democracia.;4
un miserable menos...pero antes tiene que provocar enfrentamientos y desordenes públicos sembrando más odio, del que todavia no se siente suficientemente satisfecho. hemos podido observar en vivo y en directo de forma cercana y en directo, la explicación veraz de como cualquier fascismo de estercolero con caretas puede llevar a la ruina cualquier democracia. las caretas están de moda...........y en este caso se han ido al carajo, gracias a dios.;4
vete a pasear farsante con coleta;4
otra decepción por fiarnos de los f4ch4s;4
no os cansais de dar por el saco, con la basura #fakenews;3
sois unos pputoss mentirosos periódico el mundo, vergonzoso vuestras noticias ahora, mentiras mentiras y mentiras;4
de biden,mentirosos que se lo cargáis a trump, mierda de periodismo el mundo;4
el mundo sois unos pputoss mentirrossos, que manipulados la noticia como os sale del bolo, además de no decir la verdad;4
borregos rrojos no sabéis la que nos espera cuando se vaya el s, trump;4
el globalismo que daño va hacer al mundo y los borregos rojeeass echando mierda a trump, que es el único que podrí­a hacer algo;4
al borrachoooo como ya le han cerrado el bar pues sale en tv para decir chorradas de la borrachera;4
pues la policí­a que se preocupe de casos más importantes que hay que estás bobadas de chavela de guerra de bolas, que cuando lo prepara el pputooo iglesias en el congreso no pasa nada;4
pputa mentira lo que decí­s periódico de la mierdaaaas;4
a partir de ahora ni pienso abrir amazon para gustar por pputtosss rrojjeras;4
pputooo el mundo sois escoria de periodismo;4
putooosss mentirosos, el mundo sois carroña;4
dedicaros mejor a éste periodismo porque en el polí­tico sois carroña;4
puuuto periodocooo de miiierda como manipulados las noticias desinformando y haciendo a la gente más borrega de lo que es;4
